"CODIGO
ALMACEN","NOMBRE
 CONTENEDOR",CIUDAD,PROYECTO/OBRA,"UNIDAD
 DE NEGOCIO",FAMILIA,SUBFAMILIA,IMPORTANCIA,"CODIGO
 ARTICULO","NOMBRE
 ARTICULO","NOMBRE ARTICULO
 PROVEEDOR",PROVEEDOR,"CODIGO ARTICULO
 PROVEEDOR",PRECIO PROVEEDOR,"COSTE
SOLUCIONES",PRECIO VENTA SOLUCIONES,IMPUTACIÓN TRANSPORTE,% IMPUTACIÓN TRANSPORTE,PRECIO VENTA + ENVÍO SOLUCIONES,TIPO DE CAMBIO EURO-DÓLAR,COSTE COMPRA DE SAEMA,COSTE DE SAEMA,"PRECIO 
UNITARIO","PRECIO 
COMPETENCIA",UNIDAD METRICA,"UD 
STOCK",CANTIDAD PENDIENTE DE SERVIR,"Calificación valor A, B o C","FACTOR
 MODIFICADOR
 VALOR","VALOR STOCK
DDP",ORIGEN DATOS,COSTE CONTENEDOR,COSTE FLETE,COSTE SEGURO,VOLUMEN (m3),UNIDAD MEDIDA VOLUMEN,% VOLUMEN UNITARIO,VOLUMEN BULTO(m3),UNIDADES POR BULTO,VOLUMEN TOTAL CARGA ENVIO (m3),COSTE ENVIO DE CADA m3
20,NOWU - 780969 - 8    (Cor: Azul) de 40P,LAD,SAEMA-STOCKS,ENERGIA,MT,MT CABLE,A,0000000015,Cable 1x95 mm² Al 18/30 kV (m),,,,,,"5,16 €","0,83 €","16,05%","5,99 €","1,40",8 USD,10 USD,"12,58 USD",,METRO,9000,,,1,90.543 USD,FRA. 9.074.09,3.360 €,11.614 €,559 €,"0,005",m3,"0,005%","84,540",18.752,"84,540","183,73 €"
23,OWNU - 111523 - 7    (Cor: Vinho ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,MT,MT TRANSFORMADOR,A,0000000030,Trafo  630 kVA 15kV,,,,,"5.775,00 €",7.219 €,,,7.936 €,"1,40",11.110 USD,13.332 USD,16.665 USD,,"UNIDAD
 METRICA",3,,,1,39.996 USD,TARIFA TESAR 2013,,,,,m3,,,,,
27,GLDU - 052348 - 7    (Cor: Vinho ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,MT,MT CELDAS,A,0000000408,Celda M 36kV,,,,,,7.440 €,790 €,"10,61%",8.230 €,"1,40",11.521 USD,13.826 USD,17.282 USD,,"UNIDAD
 METRICA",1,,,1,13.826 USD,FRA. 13.048.13,2.737 €,5.763 €,520 €,"3,800",m3,"8,754%","3,800",1,"43,410","207,79 €"
30,OCLU - 702250 - 9    (Cor: ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,MT,MT APARAMENTA,A,0000000305,Aislador polimerico 24 kV,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,240,,,1,0 USD,,,,,,,,,,,
31,NOWU - 494079 - 1,LAD,SAEMA-STOCKS,ENERGIA,MT,MT APOYOS,A,0000000314,Cruzeta de amarre BP-15,,,,,,331 €,,,"363,88 €","1,40",509 USD,611 USD,"764,14 USD",,UNIDAD,32,,,1,19.562 USD,FRA. 10.054.10,,,,,m3,,,,,
32,MLCU - 413654 - 0    (Cor: Vinho ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,IP,IP POSTES,A,0000000318,"Brazo curvo IP 1,5 m",,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,53,,,1,0 USD,,,,,,,,,,,
36,GSTU - 757015 - 0    (Cor: Laranja ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,MT,MT TRANSFORMADOR,A,0000000030,Trafo  630 kVA 15kV,,,,,"5.775,00 €",7.219 €,,,"7.935,75 €","1,40",11.110 USD,13.332 USD,"16.665,07 USD",,UNIDAD,8,,,1,106.656 USD,TARIFA TESAR 2013,,,,,m3,,,,,
41,TPOU  - 400522 - 1    (Cor: Verde ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,BT,BT ACCESORIOS,A,0000000391,Abrazadera plastica PG21,,,,0 €,"0,24 €",0 €,,,"0,32 €","1,40",0 USD,1 USD,"0,68 USD",,UNIDAD,9,,,1,5 USD,TARIFA SALTOKI,,,,,m3,,,,,
41,TPOU  - 400522 - 1    (Cor: Verde ) de 40P,LAD,SAEMA-STOCKS,OTROS,OTROS,OTROS,A,0000000065,Pintura acrilica blanca 1l,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,1,,,1,0 USD,,,,,,,,,,,
41,TPOU  - 400522 - 1    (Cor: Verde ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,IP,IP ACCESORIOS,A,0000000331,Luminaria farola Na E40,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,2,,,1,0 USD,,,,,,,,,,,
41,TPOU  - 400522 - 1    (Cor: Verde ) de 40P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,A,0000000350,Tornillo abrazadera M10,,,,"0,12 €","0,06 €","0,08 €",,,"0,08 €","1,40","0,12 USD","0,14 USD","0,17 USD",,UNIDAD,25,,,1,"3,46 USD",Tarifa SALTOKI,,,,,,,,,,
41,TPOU  - 400522 - 1    (Cor: Verde ) de 40P,LAD,SAEMA-STOCKS,OTROS,OTROS,OTROS,A,0000000355,Taco nylon D10,,,,,,0 €,,,"0,03 €","1,40",0 USD,0 USD,"0,07 USD",,UNIDAD,20,,,1,1 USD,FRA. 11.059..11,,,,,,,,,,
41,TPOU  - 400522 - 1    (Cor: Verde ) de 40P,LAD,SAEMA-STOCKS,ENERGIA,CUADROS,CUADROS,A,0000000357,IPTR 200A,,,,,,252 €,,,"277,03 €","1,40",388 USD,465 USD,"581,76 USD",,"UNIDAD
 METRICA",5,,,1,2.327 USD,FRA. 9.037.09,,,,,m3,,,,,
44,NKLU - 512365 - 2     (Cor: Cinza ) de 40P,LAD,SAEMA-STOCKS,OTROS,MAT. CONS,OBRA CIVIL,C,0000000470,"Varilla roscada M4x0,5m",,,,1 €,"0,39 €","0,49 €",,,"0,54 €","1,40",1 USD,1 USD,"1,13 USD",,METRO,50,,,1,45 USD,Tarifa SALTOKI,,,,,m3,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,BOMBAS,C,0000000059,Helice floculador 3F 250W,,,,,"0,00 €","0,00 €",,,"0,00 €","1,40","0,00 USD","0,00 USD","0,00 USD",,UNIDAD,4,,,1,0 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,OTROS,MAT. CONS,OBRA CIVIL,C,0000000065,Pintura acrilica blanca 1l,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,6,,,1,0 USD,,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000070,"Machon reducido laton  1"" a 1/2""",,,,"3,11 €","1,56 €","1,94 €",,,"2,14 €","1,40","2,99 USD","3,59 USD","4,49 USD",,UNIDAD,26,,,1,"93,34 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PPR,C,0000000075,"Racor loco 3/4"" PPR D20",,,,"23,77 €","11,89 €","14,86 €",,,"16,33 €","1,40","22,86 USD","27,44 USD","34,30 USD",,UNIDAD,42,,,1,1.152 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000148,"Manguito PVC D20 a 1/2"" RH",,,,"0,96 €","0,48 €","0,60 €",,,"0,66 €","1,40","0,92 USD","1,11 USD","1,39 USD",,UNIDAD,20,,,1,"22,16 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PE,C,0000000162,Manguito PE D32,,,,"3,91 €","1,96 €","2,44 €",,,"2,69 €","1,40","3,76 USD","4,51 USD","5,64 USD",,UNIDAD,18,,,1,"81,24 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000172,Manguito CU D35,,,,"4,87 €","2,44 €","3,04 €",,,"3,35 €","1,40","4,68 USD","5,62 USD","7,03 USD",,UNIDAD,23,,,1,"129,29 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000181,Codo 90º ES D32,,,,"10,39 €","5,20 €","6,49 €",,,"7,14 €","1,40","9,99 USD","11,99 USD","14,99 USD",,UNIDAD,42,,,1,504 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000182,Te JG D15,,,,"4,89 €","2,45 €","3,06 €",,,"3,36 €","1,40","4,70 USD","5,64 USD","7,06 USD",,UNIDAD,34,,,1,"191,91 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,CASQUILLO DESLIZANTE,C,0000000262,Casquillo simple CD D20,,,,"1,22 €","0,61 €","0,76 €",,,"0,84 €","1,40","1,17 USD","1,41 USD","1,76 USD",,UNIDAD,113,,,1,"159,13 USD",Tarifa SALTOKI,,,,,,,,,,
68,CLHU - 809994 - 6,LAD,SAEMA-STOCKS,ENERGIA,FV,INVERSORES,A,0000000488,Inversor PHOENIX inverter 24V 3000VA,,,,,,1.211 €,,,"1.331,13 €","1,40",1.864 USD,2.236 USD,"2.795,37 USD",,UNIDAD,3,,,1,6.709 USD,FRA.12.006.12,,,,,m3,,,,,
68,CLHU - 809994 - 6,LAD,SAEMA-STOCKS,ENERGIA,FV,REGULADORES,A,0000000487,Display regulador Xantrex C12 a C60,,,,,,"67,50 €",,,"74,20 €","1,40",104 USD,125 USD,"155,83 USD",,UNIDAD,2,,,1,249 USD,FRA. 11.012.11,,,,,m3,,,,,
68,CLHU - 809994 - 6,LAD,SAEMA-STOCKS,ENERGIA,FV,BATERIAS,A,0000000485,Bateria solar 12V 230 Ah,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,UNIDAD,2,,,1,0 USD,,,,,,m3,,,,,
68,CLHU - 809994 - 6,LAD,SAEMA-STOCKS,ENERGIA,FV,FV ACCESORIOS,A,0000000526,Conector aereo BUGH hembra,,,,,"1,44 €",2 €,,,"1,98 €","1,40",3 USD,3 USD,"4,16 USD",,UNIDAD,575,,,1,1.912 USD,PEDIDO 067_14,,,,,m3,,,,,
68,CLHU - 809994 - 6,LAD,SAEMA-STOCKS,AGUA,SOLAR TERMICA,CLIMATEWELL,A,0000000534,Equipo frio solar Barril A parte 2,,,,,,"0,00 €",,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,UNIDAD,1,,,0,0 USD,MATERIAL OBSOLETO SIN VALOR,,,,,m3,,,,,
F/C,F/C,LAD,SAEMA-STOCKS,ENERGIA,FV,FV EQUIPOS,C,0000000001,Centro movil de energía fotovoltaica,,,,,,16.085 €,,,"17.682,80 €","1,40",24.756 USD,29.707 USD,"37.133,87 USD",,UNIDAD,1,,"1,00 USD",0,0 USD,MATERIAL AVERIADO SIN VALOR FRA. 11.012.11,,,,,m3,,,,,
F/C,F/C,LAD,SAEMA-STOCKS,OTROS,HERRAMIENTA,MAQUINARIA,A,0000000541,Manitou averiada,,,,,,0 €,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,UNIDAD,1,,,0,0 USD,MATERIAL AVERIADO SIN VALOR,,,,,,,,,,
