"CODIGO
ALMACEN","NOMBRE
 CONTENEDOR",CIUDAD,PROYECTO/OBRA,"UNIDAD
 DE NEGOCIO",FAMILIA,SUBFAMILIA,IMPORTANCIA,"CODIGO
 ARTICULO","NOMBRE
 ARTICULO","NOMBRE ARTICULO
 PROVEEDOR",PROVEEDOR,"CODIGO ARTICULO
 PROVEEDOR",PRECIO PROVEEDOR,"COSTE
SOLUCIONES",PRECIO VENTA SOLUCIONES,IMPUTACIÓN TRANSPORTE,% IMPUTACIÓN TRANSPORTE,PRECIO VENTA + ENVÍO SOLUCIONES,TIPO DE CAMBIO EURO-DÓLAR,COSTE COMPRA DE SAEMA,COSTE DE SAEMA,"PRECIO 
UNITARIO","PRECIO 
COMPETENCIA",UNIDAD METRICA,"UD 
STOCK",CANTIDAD PENDIENTE DE SERVIR,"Calificación valor A, B o C","FACTOR
 MODIFICADOR
 VALOR","VALOR STOCK
DDP",ORIGEN DATOS,COSTE CONTENEDOR,COSTE FLETE,COSTE SEGURO,VOLUMEN (m3),UNIDAD MEDIDA VOLUMEN,% VOLUMEN UNITARIO,VOLUMEN BULTO(m3),UNIDADES POR BULTO,VOLUMEN TOTAL CARGA ENVIO (m3),COSTE ENVIO DE CADA m3
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000176,Codo 45º CU D35 H,,,,"13,63 €","6,82 €","8,52 €",,,"9,76 €","1,40","13,67 USD","16,40 USD","20,50 USD",,UNIDAD,60,,,1,984 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000177,Codo 45º CU D28 H,,,,"5,62 €","2,81 €","3,51 €",,,"4,02 €","1,40","5,63 USD","6,76 USD","8,45 USD",,UNIDAD,48,,,1,325 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000178,Codo 90º CU D35 H,,,,"12,04 €","6,02 €","7,53 €",,,"8,62 €","1,40","12,07 USD","14,49 USD","18,11 USD",,UNIDAD,65,,,1,942 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000179,Codo 90º CU D28 H,,,,"4,39 €","2,20 €","2,74 €",,,"3,14 €","1,40","4,40 USD","5,28 USD","6,60 USD",,UNIDAD,60,,,1,317 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000180,Manguito CU D28,,,,"2,66 €","1,33 €","1,66 €",,,"1,91 €","1,40","2,67 USD","3,20 USD","4,00 USD",,UNIDAD,60,,,1,"192,03 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000181,Codo 90º ES D32,,,,"10,39 €","5,20 €","6,49 €",,,"7,44 €","1,40","10,42 USD","12,50 USD","15,63 USD",,UNIDAD,42,,,1,525 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000182,Te JG D15,,,,"4,89 €","2,45 €","3,06 €",,,"3,50 €","1,40","4,90 USD","5,88 USD","7,35 USD",,UNIDAD,34,,,1,"200,04 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000183,"Racor loco CU D35 1-1/4""",,,,"8,98 €","4,49 €","5,61 €",,,"6,43 €","1,40","9,00 USD","10,80 USD","13,51 USD",,UNIDAD,60,,,1,648 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000184,"Racor loco CU D28 1""",,,,"7,43 €","3,72 €","4,64 €",,,"5,32 €","1,40","7,45 USD","8,94 USD","11,17 USD",,UNIDAD,90,,,1,805 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000185,"Racor loco CU D22 3/4""",,,,"6,47 €","3,24 €","4,04 €",,,"4,63 €","1,40","6,49 USD","7,78 USD","9,73 USD",,UNIDAD,61,,,1,475 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,COBRE,C,0000000186,Te CU D35-D22-D35,,,,"20,27 €","10,14 €","12,67 €",,,"14,52 €","1,40","20,32 USD","24,39 USD","30,49 USD",,UNIDAD,12,,,1,293 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000187,Codo 90º JG D15 M-H,,,,"3,72 €","1,86 €","2,33 €",,,"2,66 €","1,40","3,73 USD","4,48 USD","5,59 USD",,UNIDAD,20,,,1,"89,52 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000188,Codo 90º JG D15,,,,"3,72 €","1,86 €","2,33 €",,,"2,66 €","1,40","3,73 USD","4,48 USD","5,59 USD",,UNIDAD,47,,,1,210 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000189,Manguito JG D15,,,,"2,50 €","1,25 €","1,56 €",,,"1,79 €","1,40","2,51 USD","3,01 USD","3,76 USD",,UNIDAD,9,,,1,"27,07 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000190,Llave de corte JG D15,,,,"15,12 €","7,56 €","9,45 €",,,"10,83 €","1,40","15,16 USD","18,19 USD","22,74 USD",,UNIDAD,7,,,1,"127,34 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000191,Almas tubo JG D15,,,,"0,02 €","0,01 €","0,01 €",,,"0,01 €","1,40","0,02 USD","0,02 USD","0,03 USD",,UNIDAD,300,,,1,"7,22 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000192,"Codo 90º JG D15 a 1/2"" RH",,,,"5,92 €","2,96 €","3,70 €",,,"4,24 €","1,40","5,94 USD","7,12 USD","8,90 USD",,UNIDAD,35,,,1,"249,3 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000193,Codo 45º PVC D63,,,,"2,96 €","1,48 €","1,85 €",,,"2,12 €","1,40","2,97 USD","3,56 USD","4,45 USD",,UNIDAD,60,,,1,214 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000194,"Entronque PVC D63 a 2""RH",,,,"3,57 €","1,79 €","2,23 €",,,"2,56 €","1,40","3,58 USD","4,30 USD","5,37 USD",,UNIDAD,10,,,1,"42,95 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000195,"Machon Rreducido PVC 2"" a 1-1/2""",,,,"5,15 €","2,58 €","3,22 €",,,"3,69 €","1,40","5,16 USD","6,20 USD","7,75 USD",,UNIDAD,6,,,1,"37,18 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000196,Te PVC D75 H,,,,"7,47 €","3,74 €","4,67 €",,,"5,35 €","1,40","7,49 USD","8,99 USD","11,23 USD",,UNIDAD,32,,,1,288 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000197,Te PVC D90 H,,,,"13,75 €","6,88 €","8,59 €",,,"9,85 €","1,40","13,79 USD","16,54 USD","20,68 USD",,UNIDAD,41,,,1,678 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000198,Codo 45º PVC D90 H,,,,"8,48 €","4,24 €","5,30 €",,,"6,07 €","1,40","8,50 USD","10,20 USD","12,75 USD",,UNIDAD,55,,,1,561 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000199,Codo 90º ES D75 H,,,,"26,00 €","13,00 €","16,25 €",,,"18,62 €","1,40","26,07 USD","31,28 USD","39,10 USD",,UNIDAD,17,,,1,532 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000200,Codo 45º ES D75 H,,,,"26,00 €","13,00 €","16,25 €",,,"18,62 €","1,40","26,07 USD","31,28 USD","39,10 USD",,UNIDAD,14,,,1,438 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000201,"Te laton 1-1/4"" RH",,,,"21,26 €","10,63 €","13,29 €",,,"15,23 €","1,40","21,32 USD","25,58 USD","31,97 USD",,UNIDAD,1,,,1,"25,58 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000202,Codo 90º PVC EVA D90 M-H,,,,"1,82 €","0,91 €","1,14 €",,,"1,30 €","1,40","1,82 USD","2,19 USD","2,74 USD",,UNIDAD,8,,,1,"17,52 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,ETAPS,ACCESORIOS,C,0000000203,Valvula mariposa DN50,,,,,,50 €,,,"56,88 €","1,40",80 USD,96 USD,"119,45 USD",,,3,,,1,287 USD,FRA. 11.059.11,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,ETAPS,ACCESORIOS,C,0000000204,Valvula mariposa DN63,,,,,,58 €,,,"66,21 €","1,40",93 USD,111 USD,"139,04 USD",,,1,,,1,111 USD,FRA. 11.059.11,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000205,Codo 45º PVC D75 H,,,,"5,71 €","2,86 €","3,57 €",,,"4,09 €","1,40","5,73 USD","6,87 USD","8,59 USD",,UNIDAD,50,,,1,344 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000206,Codo 90º PVC D90 H,,,,"8,66 €","4,33 €","5,41 €",,,"6,20 €","1,40","8,68 USD","10,42 USD","13,02 USD",,UNIDAD,100,,,1,1.042 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000207,Codo 90º PVC D75 H,,,,"5,12 €","2,56 €","3,20 €",,,"3,67 €","1,40","5,13 USD","6,16 USD","7,70 USD",,UNIDAD,102,,,1,628 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000208,Manguito PVC D125,,,,"14,30 €","7,15 €","8,94 €",,,"10,24 €","1,40","14,34 USD","17,21 USD","21,51 USD",,UNIDAD,21,,,1,361 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000209,Manguito PVC D110,,,,"9,33 €","4,67 €","5,83 €",,,"6,68 €","1,40","9,35 USD","11,23 USD","14,03 USD",,UNIDAD,20,,,1,225 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000210,Manguito portabridas PVC D75,,,,,,"1,47 €",,,"1,68 €","1,40","2,36 USD","2,83 USD","3,54 USD",,,100,,,1,283 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000146,Brida PVC D40,,,,,,2 €,,,"1,82 €","1,40","2,55 USD","3,06 USD","3,83 USD",,,50,,,1,153 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000212,Manguito ES D50,,,,"5,24 €","2,62 €","3,28 €",,,"3,75 €","1,40","5,25 USD","6,30 USD","7,88 USD",,UNIDAD,32,,,1,202 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000213,Manguito ES D75,,,,"9,38 €","4,69 €","5,86 €",,,"6,72 €","1,40","9,40 USD","11,29 USD","14,11 USD",,UNIDAD,13,,,1,"146,72 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000214,Te ES D50,,,,"17,32 €","8,66 €","10,83 €",,,"12,40 €","1,40","17,37 USD","20,84 USD","26,05 USD",,UNIDAD,1,,,1,"20,84 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000215,Te ES D75,,,,"27,50 €","13,75 €","17,19 €",,,"19,69 €","1,40","27,57 USD","33,09 USD","41,36 USD",,UNIDAD,1,,,1,"33,09 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,MULTICAPA,C,0000000216,Abrazadera tubo JG D15,,,,"0,83 €","0,42 €","0,52 €",,,"0,59 €","1,40","0,83 USD","1,00 USD","1,25 USD",,UNIDAD,200,,,1,"199,73 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000217,Manguito portabridas PVC D50,,,,,,"1,82 €",,,"2,09 €","1,40","2,92 USD","3,50 USD","4,38 USD",,,30,,,1,105 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000218,Te PVC D16,,,,"0,60 €","0,30 €","0,38 €",,,"0,43 €","1,40","0,60 USD","0,72 USD","0,90 USD",,UNIDAD,20,,,1,"14,44 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000219,Manguito PVC D16,,,,"0,54 €","0,27 €","0,34 €",,,"0,39 €","1,40","0,54 USD","0,65 USD","0,81 USD",,UNIDAD,20,,,1,"12,99 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000220,Manguito PVC D25,,,,"0,64 €","0,32 €","0,40 €",,,"0,46 €","1,40","0,64 USD","0,77 USD","0,96 USD",,UNIDAD,30,,,1,"23,10 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000221,Te PVC D25,,,,"0,74 €","0,37 €","0,46 €",,,"0,53 €","1,40","0,74 USD","0,89 USD","1,11 USD",,UNIDAD,18,,,1,"16,03 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000222,Abrazadera negra tipo 1,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,335,,,1,0 USD,,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000223,Abrazadera negra tipo 2,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,7,,,1,0 USD,,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000224,"Derivacion PVC D50 a 1"" RH",,,,"2,86 €","1,43 €","1,79 €",,,"2,05 €","1,40","2,87 USD","3,44 USD","4,30 USD",,UNIDAD,7,,,1,"24,09 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000225,Manguito portabridas D63,,,,,,"1,82 €",,,"2,09 €","1,40","2,92 USD","3,50 USD","4,38 USD",,,8,,,1,28 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,ETAPS,BOMBAS,C,0000000226,Bomba 2F 215W 3Vel,,,,,,,,,"0,00 €","1,40",0 USD,0 USD,"0,00 USD",,,1,,,1,0 USD,,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000227,Manguito portabridas negro,,,,,,"1,82 €",,,"2,09 €","1,40","2,92 USD","3,50 USD","4,38 USD",,,6,,,1,21 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000228,Manguito portabridas PVC D40,,,,,,"1,82 €",,,"2,09 €","1,40","2,92 USD","3,50 USD","4,38 USD",,,2,,,1,7 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000229,Manguito portabridas PVC D90,,,,,,"1,82 €",,,"2,09 €","1,40","2,92 USD","3,50 USD","4,38 USD",,,1,,,1,4 USD,FRA. 12.013.12,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000230,"Entronque PVC D50 a 2"" RM",,,,"3,57 €","1,79 €","2,23 €",,,"2,56 €","1,40","3,58 USD","4,30 USD","5,37 USD",,UNIDAD,1,,,1,4 USD,Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000231,"Codo 90º laton 1"" RH",,,,"9,45 €","4,73 €","5,91 €",,,"6,77 €","1,40","9,48 USD","11,37 USD","14,21 USD",,UNIDAD,1,,,1,"11,37 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000232,Reduccion PVC D90 a D75,,,,"3,12 €","1,56 €","1,95 €",,,"2,23 €","1,40","3,13 USD","3,75 USD","4,69 USD",,UNIDAD,2,,,1,"7,51 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000233,Reduccion PVC D75 a D63,,,,"1,91 €","0,96 €","1,19 €",,,"1,37 €","1,40","1,92 USD","2,30 USD","2,87 USD",,UNIDAD,2,,,1,"4,60 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000234,Reduccion PVC D63 a D50,,,,"1,11 €","0,56 €","0,69 €",,,"0,79 €","1,40","1,11 USD","1,34 USD","1,67 USD",,UNIDAD,1,,,1,"1,34 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ACCESORIOS,C,0000000235,Termometro 0-120º D80,,,,"7,53 €","3,77 €","4,71 €",,,"5,39 €","1,40","7,55 USD","9,06 USD","11,32 USD",,,3,,,1,"27,18 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000236,"Filtro PVC 3/4"" RH",,,,"13,43 €","6,72 €","8,39 €",,,"9,62 €","1,40","13,47 USD","16,16 USD","20,20 USD",,UNIDAD,2,,,1,"32,32 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,ELECTROSOLDABLE,C,0000000237,Manguito ES D32,,,,"3,87 €","1,94 €","2,42 €",,,"2,77 €","1,40","3,88 USD","4,66 USD","5,82 USD",,UNIDAD,30,,,1,"139,69 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000238,Codo 90º PVC EVA D75 M-H,,,,"1,54 €","0,77 €","0,96 €",,,"1,10 €","1,40","1,54 USD","1,85 USD","2,32 USD",,UNIDAD,1,,,1,"1,85 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000239,Codo 90º PVC EVA D80 M-H,,,,"1,45 €","0,73 €","0,91 €",,,"1,04 €","1,40","1,45 USD","1,74 USD","2,18 USD",,UNIDAD,2,,,1,"3,49 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000240,Manguito PVC EVA D40,,,,"1,70 €","0,85 €","1,06 €",,,"1,22 €","1,40","1,70 USD","2,05 USD","2,56 USD",,UNIDAD,7,,,1,"14,32 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000241,Reduccion PVC EVA D40 a D32,,,,"2,34 €","1,17 €","1,46 €",,,"1,68 €","1,40","2,35 USD","2,82 USD","3,52 USD",,UNIDAD,3,,,1,"8,45 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000242,Codo 90º PVC EVA D40 H-H,,,,"1,54 €","0,77 €","0,96 €",,,"1,10 €","1,40","1,54 USD","1,85 USD","2,32 USD",,UNIDAD,3,,,1,"5,56 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000243,Codo 90º PVC EVA D40 M-H,,,,"1,10 €","0,55 €","0,69 €",,,"0,79 €","1,40","1,10 USD","1,32 USD","1,65 USD",,UNIDAD,2,,,1,"2,65 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000244,"Reduccion laton 1/2"" RH a 1/2""RM",,,,"1,47 €","0,74 €","0,92 €",,,"1,05 €","1,40","1,47 USD","1,77 USD","2,21 USD",,UNIDAD,1,,,1,"1,77 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000245,"Machon laton 3/4""",,,,"1,99 €","1,00 €","1,24 €",,,"1,43 €","1,40","2,00 USD","2,39 USD","2,99 USD",,UNIDAD,5,,,1,"11,97 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,LATON,C,0000000246,"Manguito laton 1/2""",,,,"1,55 €","0,78 €","0,97 €",,,"1,11 €","1,40","1,55 USD","1,86 USD","2,33 USD",,UNIDAD,1,,,1,"1,86 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000247,Codo 45º PVC EVA D125 M-H,,,,"3,07 €","1,54 €","1,92 €",,,"2,20 €","1,40","3,08 USD","3,69 USD","4,62 USD",,UNIDAD,1,,,1,"3,69 USD",Tarifa SALTOKI,,,,,,,,,,
52,TPHU - 822729 - 6     (Cor: Vermelha ) de 20P,LAD,SAEMA-STOCKS,AGUA,FONTANERIA,PVC,C,0000000248,Manguito excentrico PVC EVA D125 D90,,,,"5,83 €","2,92 €","3,64 €",,,"4,18 €","1,40","5,85 USD","7,01 USD","8,77 USD",,UNIDAD,1,,,1,"7,01 USD",Tarifa SALTOKI,,,,,,,,,,
